,Z,N,A,mass,lifetime
260,82,133,215,4340.0,2.34   m 0.19
261,83,132,215,1629.0,7.6    m 0.2
262,87,128,215,318.0,86     ns 5
263,88,127,215,2534.0,1.67  ms 0.01
264,89,126,215,6031.0,170     ms 10
265,90,125,215,10922.0,1.2    s 0.2
266,91,124,215,17860.0,14     ms 2
267,92,123,215,24920.0,1.4   ms 0.9
268,81,135,216,14720.0,6      s 3
269,82,134,216,7480.0,1.65   m 0.2
270,83,133,216,5898.0,24      19
271,84,132,216,1782.4,145     ms 2
272,85,131,216,2257.0,300     us 30
273,85,131,216,2417.0,161      11
274,86,130,216,253.0,45     us 5
275,87,129,216,2971.0,700     ns 20
276,87,129,216,3190.0,219       6
277,88,128,216,3291.0,182     ns 10
278,89,127,216,8144.0,440     us 16
279,89,127,216,8188.0,44       8
280,90,126,216,10298.0,26.0   ms 0.2
281,90,126,216,12342.0,2043       9
282,91,125,216,17800.0,105     ms 12
283,92,124,216,23066.0,6.9   ms 2.9
284,92,124,216,25320.0,2250      40            1.4
285,82,135,217,12240.0,20      s 5
286,83,134,217,8730.0,98.5    s 1.3
287,84,133,217,5884.0,1.514  s 0.026
288,85,132,217,4395.0,32.62  ms 0.24
289,86,131,217,3659.0,540     us 50
290,87,130,217,4315.0,16.8   us 1.9
291,88,129,217,5890.0,1.63  us 0.17
292,89,128,217,8704.0,69     ns 4
293,89,128,217,10716.0,2012      20
294,90,127,217,12206.0,247     us 4
295,91,126,217,17068.0,3.48  ms 0.09
296,91,126,217,18929.0,1860       7
297,92,125,217,22970.0,800     us 700
298,82,136,218,15450.0,15      s 7
299,83,135,218,13216.0,33      s 1
300,84,134,218,8356.9,3.098  m 0.012
301,85,133,218,8098.0,1.5    s 0.3
302,86,132,218,5217.3,33.75  ms 0.15
303,87,131,218,7059.0,1.0   ms 0.6
304,87,131,218,7146.0,86       4
305,88,130,218,6651.0,25.2   us 0.3
306,89,129,218,10840.0,1.00  us 0.04
307,90,128,218,12367.0,117     ns 9
308,91,127,218,18684.0,113     us 10
309,92,126,218,21895.0,550     us 140
310,92,126,218,24004.0,2109      17
311,83,136,219,16280.0,8.7    s 2.9
312,84,135,219,12681.0,10.3    m 1.0
313,85,134,219,10396.0,56      s 3
314,86,133,219,8829.4,3.96   s 0.01
315,87,132,219,8618.0,20     ms 2
316,88,131,219,9394.0,10     ms 3
317,89,130,219,11570.0,11.8   us 1.5
318,90,129,219,14470.0,1.021 us 0.024
319,91,128,219,18540.0,53     ns 10
320,92,127,219,23290.0,55     us 25
321,93,126,219,29460.0,<5     us        9
322,83,137,220,20820.0,9.5    s 5.7
323,85,135,220,14376.0,3.71   m 0.04
324,86,134,220,10612.1,55.6    s 0.1
325,87,133,220,11482.0,27.4    s 0.3
326,88,132,220,10270.0,17.9   ms 1.4
327,89,131,220,13744.0,26.36  ms 0.19
328,90,130,220,14669.0,9.7   us 0.6
329,91,129,220,20220.0,780     ns 160
330,84,137,221,19774.0,2.2    m 0.7
331,85,136,221,16783.0,2.3    m 0.2
332,86,135,221,14471.0,25.7    m 0.5
333,87,134,221,13277.0,4.801  m 0.005
334,88,133,221,12964.0,28      s 2
335,89,132,221,14520.0,52     ms 2
336,90,131,221,16940.0,1.78  ms 0.03
337,91,130,221,20380.0,5.9   us 1.7
338,92,129,221,24520.0,660     ns 140
339,84,138,222,22490.0,9.1    m 7.2
340,85,137,222,20953.0,54      s 10
341,86,136,222,16372.2,3.8215 d 0.0002
342,87,135,222,16378.0,14.2    m 0.3
343,88,134,222,14320.0,33.6    s 0.4
344,90,132,222,17203.0,2.24  ms 0.03
345,91,131,222,22160.0,3.2   ms 0.3
346,92,130,222,24270.0,4.7   us 0.7
347,85,138,223,23428.0,50      s 7
348,86,137,223,20390.0,24.3    m 0.4
349,87,136,223,18382.4,22.00   m 0.07
350,88,135,223,17233.3,11.4377 d 0.0022
351,89,134,223,17826.0,2.10   m 0.05
352,90,133,223,19386.0,600     ms 20
353,91,132,223,22320.0,5.1   ms 0.3
354,92,131,223,25840.0,21     us 8
355,85,139,224,27711.0,2.5    m 1.5
356,86,138,224,22445.0,107      m 3
357,87,137,224,21749.0,3.33   m 0.10
358,88,136,224,18825.9,3.6319 d 0.0023
359,89,135,224,20234.0,2.78   h 0.16
360,90,134,224,19994.0,1.04   s 0.02
361,91,133,224,23862.0,846     ms 20
362,92,132,224,25722.0,396     us 17
363,86,139,225,26534.0,4.66   m 0.04
364,87,138,225,23821.0,3.95   m 0.14
365,88,137,225,21993.1,14.9    d 0.2
366,89,136,225,21637.0,9.920  d 0.003
367,90,135,225,22310.0,8.75   m 0.04
368,91,134,225,24340.0,1.7    s 0.2
369,92,133,225,27380.0,61     ms 4
370,93,132,225,31590.0,6     ms 5
371,86,140,226,28747.0,7.4    m 0.1
372,87,139,226,27521.0,49      s 1
373,88,138,226,23667.8,1.600 ky 0.007
374,89,137,226,24309.0,29.37   h 0.12
375,90,136,226,23198.0,30.70   m 0.03
376,91,135,226,26033.0,1.8    m 0.2
377,92,134,226,27329.0,269     ms 6
378,93,133,226,32780.0,35     ms 10
379,86,141,227,32886.0,20.2    s 0.4
380,87,140,227,29682.0,2.47   m 0.03
381,88,139,227,27177.7,42.2    m 0.5
382,89,138,227,25849.6,21.772  y 0.003
383,90,137,227,25804.8,18.697  d 0.007
384,91,136,227,26831.0,38.3    m 0.3
385,92,135,227,29045.0,1.1    m 0.1
386,93,134,227,32560.0,510     ms 60
387,86,142,228,35243.0,65      s 2
