	l=12,5	l=25	l=50	l=100		s(I_e)	s(I:b)
0,6	4	41,11	47,93				
0,7	4	41,83	54,99				
0,8	4	42,65	63,04				
0,9	4	43,44	70,79				
1	4	44,15	77,75				
1,1	4	44,87	84,82				
1,2	4	45,64	92,37				
1,3	4	46,38	99,63				
							
r	b  (mN/A)	s(b) (mN/A)					
0,99979	77,91	0,47					
							
l  (mm)	b  $\pm 0,47$   (mN/A)	Ie  $pm 0,1$   (A)	cte    $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$	s(cte)   $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$			
100	77,9094	4	0,1948	0,0049			
							
l=12,5			l=25				
							
10,46831209	0		22,42381538	0			
0,1571057198	#N/A		0,1802045007	#N/A			
0,9973044978	0,4496079147		0,9992256148	0,5157124124			
4439,860548	12		15484,16361	12			
897,5057198	2,425767323		4118,157196	3,191511508			
l=50			l=100				
							
40,04492308	0		77,90936703	0			
0,1499467044	#N/A		0,4654833028	#N/A			
0,9998317763	0,4291201183		0,9995718222	1,33212831			
71321,6	12		28013,74284	12			
13133,45013	2,209728912		49712,23097	21,29479003			
							
							
l  (mm)	b  (mN/A)	s(b) (mN/A)	r				
12,5	10,47	0,1571057198	0,99865				
25	22,42	0,1802045007	0,99961				
50	40,04	0,1499467044	0,99992				
100	77,91	0,4654833028	0,99979				
							
							
							
l  (mm)	b  (mN/A)	s(b) (mN/A)	$I_e$  $pm 0,1$   (A)	cte    $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$	s(cte)   $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$		
12,5	10,47	0,16	4	0,2094	0,0053		
25	22,42	0,18	4	0,2242	0,0056		
50	40,04	0,15	4	0,2002	0,0050		
100	77,91	0,47	4	0,1948	0,0049		
							
para Ie e Ib constantes							
							
$ l \ \ (mm) $	$ I_e \pm 0,1 \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \ (mN)$	$s(F_{mag}) \ (mN)			
12,5	0,8	31,85	3,88476	0,20			
25	0,8	32,45	4,98348	0,44			
50	0,8	39,38	8,6328	0,40			
100	0,8	37,91	16,53966	0,22			
							
r	b  (N/m)	s(b) (N/m)					
0,9950	0,170	0,010					
							
							
$ l \ \ (mm) $	$ I_e \pm 0,1 \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \ (mN)$	$s(F_{mag}) \ (mN)			
12,5	1,6	32,12	6,53346	0,20			
25	1,6	32,83	8,71128	0,44			
50	1,6	40,19	16,5789	0,40			
100	1,6	39,53	32,43186	0,22			
							
r	b  (N/m)	s(b) (N/m)					
0,9978	0,329	0,013					
							
							
$ l \ \ (mm) $	$ I_e \pm 0,1 \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \ (mN)$	$s(F_{mag}) \ (mN)			
12,5	2,4	32,32	8,49546	0,20			
25	2,4	33,26	12,92958	0,44			
50	2,4	40,81	22,6611	0,40			
100	2,4	41,1	47,83356	0,22			
							
r	b  (N/m)	s(b) (N/m)					
0,999	0,478	0,015					
							
							
$ l \ \ (mm) $	$ I_e \pm 0,1 \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \ (mN)$	$s(F_{mag}) \ (mN)			
12,5	3,2	32,49	10,16316	0,20			
25	3,2	33,73	17,54028	0,44			
50	3,2	41,62	30,6072	0,40			
100	3,2	42,64	62,94096	0,22			
							
r	b  (N/m)	s(b) (N/m)					
0,999	0,632	0,015					
							
							
$ l \ \ (mm) $	$ I_e \pm 0,1 \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \ (mN)$	$s(F_{mag}) \ (mN)			
12,5	4	32,67	11,92896	0,20			
25	4	34,15	21,66048	0,44			
50	4	42,42	38,4552	0,40			
100	4	44,17	77,95026	0,22			
							
r	b  (N/m)	s(b) (N/m)					
0,9994	0,784	0,015					
							
I=0,8A			I=1,6A				
0,1700707765	0		0,3291543529	0			
0,009848076257	#N/A		0,01260734367	#N/A			
0,9900409519	1,134934711		0,9956181045	1,452924569			
298,2336086	3		681,6352198	3			
384,1477915	3,864230394		1438,924998	6,332969406			
							
							
I=2,4A			I=0,8A				
0,4778047059	0		0,6317178353	0			
0,01490174968	#N/A		0,01519724542	#N/A			
0,9970904255	1,717341795		0,9982667893	1,751395997			
1028,078597	3		1727,891719	3			
3032,074007	8,847788527		5300,114217	9,202163813			
							
I=0,8A							
0,7836920471	0						
0,01546865336	#N/A						
0,9988325774	1,782674217						
2566,763555	3						
8156,98814	9,533782092						
							
							
$I_e \pm 0,1 \ \  (A)$	$I_b \pm 0,05 \ \ (A)$	b  (N/m)	s(b)   (N/m)	r			
0,8	1	0,170	0,010	0,9950			
1,6	1	0,329	0,013	0,9978			
2,4	1	0,478	0,015	0,9985			
3,2	1	0,632	0,015	0,99913			
4	1	0,784	0,015	0,99942			
							
							
							
$I_e \pm 0,1 \ \  (A)$	b    (m/A)	s(b)  (N/A)	B   (T)	s(B)   (T)			
0,8	0,170	0,010	0,213	0,029			
1,6	0,329	0,013	0,206	0,015			
2,4	0,478	0,015	0,199	0,010			
3,6	0,632	0,015	0,1755	0,0064			
4	0,784	0,015	0,1959	0,0062			
							
							
$I_e \pm 0,1 \ \  (A)$	B   (T)	s(B)   (T)	$I_B  \pm 0,05 \ \  (A)$	cte (T/A)	s(cte) (T/A)		
0,8	0,213	0,029	1	0,213	0,031		
1,6	0,206	0,015	1	0,206	0,018		
2,4	0,199	0,010	1	0,199	0,014		
3,6	0,1755	0,0064	1	0,175	0,011		
4	0,1959	0,0062	1	0,196	0,012		
